ChargeThreshold_fC,Probability,CrossSection_cm2,CrossSection_Uncertainty_cm2
0.004369857968816923,0.4580533920477425,7.328854272763883e-12,1.0870950014062256e-14
0.0044924782996584875,0.451910747379618,7.2305719580738905e-12,1.0797812060373281e-14
0.00461853941636609,0.4457973315696245,7.132757305113994e-12,1.0724526913216885e-14
0.004748137869057434,0.4396365446033687,7.034184713653902e-12,1.0650163752265064e-14
0.004881372917093288,0.4334807926356372,6.935692682170198e-12,1.0575339042789419e-14
0.005018346605100149,0.4275195520856435,6.840312833370299e-12,1.050237059746403e-14
0.005159163841126154,0.4212922507775971,6.740676012441556e-12,1.0425600113928617e-14
0.005303932476990078,0.4150316907794727,6.640507052471566e-12,1.034784549247326e-14
0.0054527633908849574,0.408910207019479,6.542563312311666e-12,1.0271248980565982e-14
0.005605770572299621,0.40265266719948556,6.4424426751917715e-12,1.0192355080546683e-14
0.005763071209323159,0.39637598804949203,6.342015808791875e-12,1.011260169072541e-14
0.0059247857783991924,0.39007310160136166,6.241169625621789e-12,1.0031877280148611e-14
0.006091038136598693,0.38381556215605234,6.14104899449684e-12,9.951085841361069e-15
0.006261955616482029,0.37744616383605895,6.039138621376945e-12,9.868170987393071e-15
0.006437669123622882,0.3710435019921627,5.936696031874605e-12,9.78411497714044e-15
0.006618313236868713,0.36432941916467854,5.829270706634859e-12,9.695187684533233e-15
0.006804026311414625,0.3577302314187294,5.723683702699672e-12,9.606980101474754e-15
0.006994950584769498,0.3509869320407127,5.615790912651405e-12,9.516001746255592e-15
0.007191232285695593,0.3441680461807196,5.506688738891516e-12,9.423110412551783e-15
0.007393021746205052,0.33720201782072695,5.395232285131633e-12,9.327259362265548e-15
0.007600473516699089,0.33029141512503707,5.284662642000595e-12,9.231187591904304e-15
0.007813746484338014,0.3231883190173387,5.171013104277421e-12,9.131386389118299e-15
0.008033003994732807,0.3158060649392154,5.052897039027449e-12,9.02649373968342e-15
0.00825841397705139,0.30848830700177,4.935812912028322e-12,8.921300358484116e-15
0.00849014907263547,0.30102642854774186,4.816422856763872e-12,8.812742364717714e-15
0.008728386767226405,0.29335795230198386,4.6937272368317435e-12,8.699767475633741e-15
0.008973309526901405,0.2856068363057299,4.569709380891681e-12,8.584064273019968e-15
0.009225104937824179,0.2777277324957382,4.443643719931812e-12,8.464829828778301e-15
0.009483965849917028,0.2695835735076687,4.313337176122701e-12,8.339792848342802e-15
0.009750090524564468,0.26137188029675534,4.181950084748087e-12,8.21179154402654e-15
0.010023682786461475,0.25291328023676424,4.0466124837882294e-12,8.077821108986575e-15
0.010304952179722682,0.244387150663652,3.9101944106184336e-12,7.940494014275047e-15
0.010594114128372056,0.23570481361009413,3.771277017761507e-12,7.798166154580994e-15
0.010891390101335994,0.22682393554197217,3.629182968671556e-12,7.64984447388558e-15
0.011197007782066224,0.21780599792385089,3.4848959667816156e-12,7.496231384615424e-15
0.011511201242922403,0.20855625449638465,3.3369000719421557e-12,7.33532829975962e-15
0.011834211124447939,0.19904851864070539,3.1847762982512872e-12,7.166173174305696e-15
0.012166284819676436,0.18941379542257858,3.0306207267612584e-12,6.990584428658715e-15
0.012507676663609826,0.1795271145525888,2.8724338328414217e-12,6.805695894103926e-15
0.012858648128013366,0.1694801973063373,2.7116831569013975e-12,6.61251722596357e-15
0.01321946802167667,0.16130278273924278,2.5808445238278854e-12,6.451015883036486e-15
0.013590412696294166,0.15293891921330058,2.4470227074128103e-12,6.2815382678420815e-15
0.013971766258122662,0.14516562921833748,2.3226500674934006e-12,6.119820821222056e-15
0.014363820785578126,0.13797084107241792,2.2075334571586876e-12,5.966234050148711e-15
0.014766876552938313,0.1311136659609382,2.097818655375012e-12,5.8160806982977016e-15
0.015181242260322633,0.12472109842094477,1.9955375747351172e-12,5.672522273578388e-15
0.01560723527012535,0.11840914515340724,1.8945463224545166e-12,5.527116736077305e-15
0.01604518185008319,0.11243582434951631,1.7989731895922617e-12,5.3858982522191814e-15
0.016495417423163593,0.1063919585032406,1.7022713360518502e-12,5.239139233209252e-15
0.016958286824464895,0.10096891115511511,1.6155025784818423e-12,5.103864422915505e-15
0.017434144565325296,0.09541887191750308,1.5267019506800498e-12,4.961604412301157e-15
0.017923355104842813,0.09002203202072577,1.4403525123316129e-12,4.81924616763336e-15
0.018426293129014268,0.08484992928256001,1.3575988685209606e-12,4.678752963665523e-15
0.018943343837707002,0.07960828317070147,1.273732530731224e-12,4.531929297847796e-15
0.019474903239683174,0.0747677498745186,1.196283997992298e-12,4.391984064458207e-15
0.020021378455902603,0.07044826101848203,1.127172176295713e-12,4.263225977686122e-15
0.02058318803133638,0.0665319048006481,1.0645104768103701e-12,4.143027533478796e-15
0.021160762255530197,0.06294509783559968,1.0071215653695953e-12,4.029799170384178e-15
0.021754543492162756,0.05955885510206921,9.529416816331077e-13,3.919902307084412e-15
0.02236498651785184,0.05630665216644038,9.009064346630465e-13,3.811373610419304e-15
0.02299255887046736,0.05333159613254247,8.533055381206799e-13,3.709313616298499e-15
0.023637741207218264,0.050544002034555426,8.087040325528871e-13,3.611068077944331e-15
0.024301027672787558,0.04789850452120311,7.6637607233925e-13,3.515292086889773e-15
0.02498292627779736,0.045393088995190456,7.262894239230476e-13,3.4221168718054824e-15
